chromo,strand,start,end,count,alt3,alt5,alt3+5,skip,constitLevel,inclLevel,3usageLevel,genename
chr1,-,150694655,150694850,110,5,0,0,0,0.957,1.000,0.957,GOLPH3L
chr1,-,150814076,150814239,16,4,0,0,0,0.800,1.000,0.800,ARNT
chr1,+,151224247,151224279,54,34,0,0,0,0.614,1.000,0.614,PIP5K1A
chr1,-,151369712,151369769,365,22,0,0,0,0.943,1.000,0.943,SELENBP1
chr1,-,151709219,151709348,28,9,0,0,0,0.757,1.000,0.757,CELF3
chr1,-,153390394,153390557,116,5,0,0,0,0.959,1.000,0.959,S100A8
chr1,-,153535201,153535360,474,19,0,0,0,0.961,1.000,0.961,S100A6
chr1,-,153952570,153952635,15,8,0,0,0,0.652,1.000,0.652,CRTC2
chr1,-,154170399,154170469,477,7,0,0,0,0.986,1.000,0.986,TPM3
chr1,-,154965945,154966080,52,46,0,0,0,0.531,1.000,0.531,SHC1
chr1,-,154968494,154968614,222,7,0,0,0,0.969,1.000,0.969,SHC1
chr1,+,155052670,155052777,421,11,0,0,0,0.975,1.000,0.975,ADAM15
chr1,-,155268707,155268795,31,8,0,0,0,0.795,1.000,0.795,CLK2
chr1,-,155269487,155269716,42,11,0,0,0,0.792,1.000,0.792,CLK2
chr1,+,155317940,155318021,897,9,0,0,0,0.990,1.000,0.990,FDPS
chr1,+,155326579,155327132,19,7,0,0,0,0.731,1.000,0.731,RUSC1
chr1,-,155668626,155668777,49,23,0,0,0,0.681,1.000,0.681,YY1AP1
chr1,-,155964987,155965131,15,10,0,0,0,0.600,1.000,0.600,ARHGEF2
chr1,+,156134402,156134528,342,4,0,0,0,0.988,1.000,0.988,LMNA
chr1,+,156339633,156339791,31,17,0,0,0,0.646,1.000,0.646,TSACC
chr1,+,156592100,156592209,93,8,0,0,0,0.921,1.000,0.921,APOA1BP
chr1,-,156598967,156599104,116,5,0,0,0,0.959,1.000,0.959,GPATCH4
chr1,+,156620017,156620158,86,90,0,0,0,0.489,1.000,0.489,HAPLN2
chr1,-,156816005,156816094,46,11,0,0,0,0.807,1.000,0.807,SH2D2A
chr1,+,156927201,156927270,5,4,0,0,0,0.556,1.000,0.556,LRRC71
chr1,+,158089501,158089628,18,4,0,0,0,0.818,1.000,0.818,KIRREL
chr1,+,158938396,158938542,11,5,0,0,0,0.688,1.000,0.688,PYHIN1
chr1,-,159934189,159934332,5,4,0,0,0,0.556,1.000,0.556,IGSF9
chr1,-,160305432,160305571,59,7,0,0,0,0.894,1.000,0.894,COPA
chr1,-,160489087,160489170,8,5,0,0,0,0.615,1.000,0.615,SLAMF6
chr1,-,160952619,160952733,5,4,0,0,0,0.556,1.000,0.556,ITLN2
chr1,+,161226354,161226604,129,27,0,0,0,0.827,1.000,0.827,TOMM40L
chr1,-,161230812,161230918,28,9,0,0,0,0.757,1.000,0.757,NR1I3
chr1,+,161726702,161726993,6,4,0,0,0,0.600,1.000,0.600,FCRLB
chr1,+,162300632,162300706,7,4,0,0,0,0.636,1.000,0.636,NOS1AP
chr1,-,162855631,162855755,4,4,0,0,0,0.500,1.000,0.500,CCDC190
chr1,+,169106697,169106926,9,4,0,0,0,0.692,1.000,0.692,ATP1B1
chr1,-,169397236,169397388,4,4,0,0,0,0.500,1.000,0.500,CCDC181
chr1,-,169424810,169424950,19,4,0,0,0,0.826,1.000,0.826,CCDC181
chr1,+,169798918,169798958,66,17,0,0,0,0.795,1.000,0.795,C1orf112
chr1,+,169804074,169804240,18,5,0,0,0,0.783,1.000,0.783,C1orf112
chr1,+,171512994,171513172,24,6,0,0,0,0.800,1.000,0.800,PRRC2C
chr1,-,173601649,173601716,4,4,0,0,0,0.500,1.000,0.500,SLC9C2
chr1,-,173907449,173907514,21,7,0,0,0,0.750,1.000,0.750,SERPINC1
chr1,-,173910753,173910891,19,6,0,0,0,0.760,1.000,0.760,SERPINC1
chr1,-,173943441,173943588,5,4,0,0,0,0.556,1.000,0.556,RC3H1
chr1,+,179889312,179889369,98,45,0,0,0,0.685,1.000,0.685,TOR1AIP1
chr1,+,181050010,181050286,17,5,0,0,0,0.773,1.000,0.773,MR1
chr1,-,182385759,182385887,250,5,0,0,0,0.980,1.000,0.980,GLUL
chr1,-,182602419,182602484,98,4,0,0,0,0.961,1.000,0.961,RGS16
chr1,-,182951317,182951467,23,4,0,0,0,0.852,1.000,0.852,SHCBP1L
chr1,-,183633081,183633154,796,95,0,0,0,0.893,1.000,0.893,ARPC5
chr1,-,193022925,193023036,28,10,0,0,0,0.737,1.000,0.737,UCHL5
chr1,+,196689419,196689614,43,5,0,0,0,0.896,1.000,0.896,CFH
chr1,+,198639225,198639341,175,4,0,0,0,0.978,1.000,0.978,PTPRC
chr1,-,201367770,201367806,59,8,0,0,0,0.881,1.000,0.881,TNNT2
chr1,+,203014888,203015048,87,47,0,0,0,0.649,1.000,0.649,TMEM183A
chr1,-,203183640,203183791,557,4,0,0,0,0.993,1.000,0.993,CHI3L1
chr1,-,203225668,203225870,200,4,0,0,0,0.980,1.000,0.980,CHIT1
chr1,-,205719526,205719676,62,8,0,0,0,0.886,1.000,0.886,NUCKS1
chr1,+,206401420,206401645,16,6,0,0,0,0.727,1.000,0.727,SRGAP2
chr1,+,207090307,207090481,21,13,0,0,0,0.618,1.000,0.618,C4BPB
chr1,+,207113000,207113167,117,39,0,0,0,0.750,1.000,0.750,C4BPA
chr1,+,212812247,212812328,12,14,0,0,0,0.462,1.000,0.462,TATDN3
chr1,-,216564218,216564380,25,5,0,0,0,0.833,1.000,0.833,ESRRG
chr1,-,219927027,219927105,7,4,0,0,0,0.636,1.000,0.636,SLC30A10
chr1,-,223229196,223229388,5,5,0,0,0,0.500,1.000,0.500,SUSD4
chr1,-,224424517,224424654,34,4,0,0,0,0.895,1.000,0.895,WDR26
chr1,+,228146841,228146938,453,32,0,0,0,0.934,1.000,0.934,GUK1
chr1,+,228147614,228147699,304,10,0,0,0,0.968,1.000,0.968,GUK1
chr1,-,228414643,228415077,5,8,0,0,0,0.385,1.000,0.385,TRIM17
chr1,+,229297481,229297636,62,7,0,0,0,0.899,1.000,0.899,RAB4A
chr1,+,230688419,230688562,19,4,0,0,0,0.826,1.000,0.826,COG2
chr1,-,230916192,230916299,8,8,0,0,0,0.500,1.000,0.500,TTC13
chr1,-,235122325,235122372,1067,5,0,0,0,0.995,1.000,0.995,TOMM20
chr1,-,241511966,241512143,187,8,0,0,0,0.959,1.000,0.959,FH
chr1,-,243156220,243156455,14,9,0,0,0,0.609,1.000,0.609,CEP170
chr1,+,244691878,244692020,86,8,0,0,0,0.915,1.000,0.915,DESI2
chr1,+,244842194,244842258,148,6,0,0,0,0.961,1.000,0.961,COX20
chr2,+,3477694,3477795,18,9,0,0,0,0.667,1.000,0.667,TRAPPC12
chr2,+,3575591,3575684,737,10,0,0,0,0.987,1.000,0.987,RPS7
chr2,+,9478221,9478370,72,4,0,0,0,0.947,1.000,0.947,IAH1
chr2,-,10444930,10445049,294,4,0,0,0,0.987,1.000,0.987,ODC1
chr2,-,11453581,11453798,56,6,0,0,0,0.903,1.000,0.903,E2F6
chr2,+,15602547,15602631,662,4,0,0,0,0.994,1.000,0.994,DDX1
chr2,+,24816645,24816817,14,5,0,0,0,0.737,1.000,0.737,CENPO
chr2,-,25164640,25164792,172,18,0,0,0,0.905,1.000,0.905,POMC
chr2,-,25806228,25806337,13,7,0,0,0,0.650,1.000,0.650,ASXL2
chr2,-,25929954,25930063,26,4,0,0,0,0.867,1.000,0.867,KIF3C
chr2,-,26472518,26472649,5,4,0,0,0,0.556,1.000,0.556,OTOF
chr2,-,27368024,27368139,61,6,0,0,0,0.910,1.000,0.910,EIF2B4
chr2,-,27369005,27369212,50,43,0,0,0,0.538,1.000,0.538,EIF2B4
chr2,-,27369413,27369549,101,6,0,0,0,0.944,1.000,0.944,EIF2B4
chr2,+,27435132,27435227,126,4,0,0,0,0.969,1.000,0.969,NRBP1
chr2,+,28781737,28781842,85,21,0,0,0,0.802,1.000,0.802,PPP1CB
chr2,+,33257442,33257511,10,9,0,0,0,0.526,1.000,0.526,LTBP1
chr2,+,33511709,33511842,92,5,0,0,0,0.948,1.000,0.948,RASGRP3
chr2,-,37148856,37149023,11,9,0,0,0,0.550,1.000,0.550,EIF2AK2
chr2,-,43551788,43551925,11,4,0,0,0,0.733,1.000,0.733,THADA
chr2,-,43577021,43577242,10,5,0,0,0,0.667,1.000,0.667,THADA
chr2,+,43795889,43795958,28,8,0,0,0,0.778,1.000,0.778,DYNC2LI1
chr2,-,44343744,44343951,529,29,0,0,0,0.948,1.000,0.948,PREPL
chr2,+,48454594,48454741,33,5,0,0,0,0.868,1.000,0.868,PPP1R21
chr2,-,55328293,55328435,7,5,0,0,0,0.583,1.000,0.583,CCDC88A
chr2,-,55564312,55564497,29,9,0,0,0,0.763,1.000,0.763,PPP4R3B
chr2,-,63981645,63981851,10,6,0,0,0,0.625,1.000,0.625,VPS54
chr2,-,68319221,68319466,5,4,0,0,0,0.556,1.000,0.556,CNRIP1
chr2,+,68807272,68807480,14,5,0,0,0,0.737,1.000,0.737,ARHGAP25
chr2,+,69781519,69781574,249,6,0,0,0,0.976,1.000,0.976,ANXA4
chr2,-,70465615,70465736,32,26,0,0,0,0.552,1.000,0.552,TGFA
chr2,+,73220050,73220190,194,21,0,0,0,0.902,1.000,0.902,SMYD5
chr2,+,74455405,74455598,128,5,0,0,0,0.962,1.000,0.962,"INO80B-WBP1,INO80B"
chr2,+,74456102,74456272,68,4,0,0,0,0.944,1.000,0.944,"INO80B-WBP1,INO80B"
chr2,-,74526940,74527059,65,6,0,0,0,0.915,1.000,0.915,AUP1
chr2,+,79026082,79026169,11,6,0,0,0,0.647,1.000,0.647,REG3G
chr2,+,79121987,79122125,739,11,0,0,0,0.985,1.000,0.985,REG1A
chr2,-,79137223,79137337,16,11,0,0,0,0.593,1.000,0.593,onlyEST
chr2,-,79159329,79159416,80,47,0,0,0,0.630,1.000,0.630,REG3A
chr2,+,85623645,85623782,153,15,0,0,0,0.911,1.000,0.911,USP39
chr2,-,85663345,85663491,12,4,0,0,0,0.750,1.000,0.750,SFTPB
chr2,-,88034133,88034292,40,4,0,0,0,0.909,1.000,0.909,KRCC1
chr2,-,95814049,95814134,3,4,0,0,0,0.429,1.000,0.429,LINC00342
chr2,-,96024426,96024667,5,5,0,0,0,0.500,1.000,0.500,GPAT2
chr2,+,96550187,96550285,72,4,0,0,0,0.947,1.000,0.947,ARID5A
chr2,+,96550573,96550733,68,5,0,0,0,0.932,1.000,0.932,ARID5A
chr2,-,96604778,96604863,52,7,0,0,0,0.881,1.000,0.881,KANSL3
chr2,-,96867777,96867923,13,5,0,0,0,0.722,1.000,0.722,SEMA4C
chr2,+,97224805,97224879,5,4,0,0,0,0.556,1.000,0.556,ANKRD36
chr2,+,98609755,98610039,62,5,0,0,0,0.925,1.000,0.925,UNC50
chr2,+,101866427,101866579,20,5,0,0,0,0.800,1.000,0.800,MAP4K4
chr2,-,104812708,104812784,4,7,0,0,0,0.364,1.000,0.364,LINC01158
chr2,+,108791674,108791802,26,10,0,0,0,0.722,1.000,0.722,CCDC138
chr2,+,113197746,113197913,12,10,0,0,0,0.545,1.000,0.545,PSD4
chr2,+,113628553,113628713,23,17,0,0,0,0.575,1.000,0.575,RABL2A
chr2,+,120974923,120975109,6,4,0,0,0,0.600,1.000,0.600,GLI2
chr2,+,127419925,127420012,11,8,0,0,0,0.579,1.000,0.579,PROC
chr2,+,127421282,127421449,32,5,0,0,0,0.865,1.000,0.865,PROC
chr2,-,127986784,127986962,29,4,0,0,0,0.879,1.000,0.879,SAP130
chr2,-,128000306,128000454,25,4,0,0,0,0.862,1.000,0.862,SAP130
chr2,-,130142132,130142183,29,15,0,0,0,0.659,1.000,0.659,CCDC74B
chr2,-,152663875,152663967,18,7,0,0,0,0.720,1.000,0.720,PRPF40A
chr2,-,157324669,157324762,707,8,0,0,0,0.989,1.000,0.989,ERMN
chr2,+,158624877,158625427,7,4,0,0,0,0.636,1.000,0.636,PKP4
chr2,+,158634069,158634289,16,5,0,0,0,0.762,1.000,0.762,PKP4
chr2,-,160367215,160367391,45,6,0,0,0,0.882,1.000,0.882,RBMS1
chr2,+,161203486,161203595,130,4,0,0,0,0.970,1.000,0.970,TANK
chr2,-,162047402,162047501,133,22,0,0,0,0.858,1.000,0.858,DPP4
chr2,-,162149086,162149187,1830,5,0,0,0,0.997,1.000,0.997,GCG
chr2,+,178430769,178430889,7,5,0,0,0,0.583,1.000,0.583,AC009948.5
chr2,+,188383762,188383889,115,4,0,0,0,0.966,1.000,0.966,GULP1
chr2,+,189665375,189665451,203,62,0,0,0,0.766,1.000,0.766,ASNSD1
chr2,-,189782421,189782602,61,4,0,0,0,0.938,1.000,0.938,ORMDL1
chr2,-,190518951,190519183,9,4,0,0,0,0.692,1.000,0.692,NEMP2
chr2,+,200891968,200892379,17,11,0,0,0,0.607,1.000,0.607,NIF3L1
chr2,-,201289695,201289785,5,5,0,0,0,0.500,1.000,0.500,ALS2CR12
chr2,-,201638988,201639045,55,8,0,0,0,0.873,1.000,0.873,TMEM237
chr2,-,201693875,201694054,26,8,0,0,0,0.765,1.000,0.765,MPP4
chr2,-,202214356,202214434,484,11,0,0,0,0.978,1.000,0.978,SUMO1
chr2,+,206159958,206160059,49,18,0,0,0,0.731,1.000,0.731,EEF1B2
chr2,-,206213306,206213425,11,5,0,0,0,0.688,1.000,0.688,GPR1
chr2,+,209680749,209680827,42,4,0,0,0,0.913,1.000,0.913,MAP2
chr2,-,215361968,215362079,304,5,0,0,0,0.984,1.000,0.984,FN1
chr2,+,218245419,218245546,242,4,0,0,0,0.984,1.000,0.984,ARPC2
chr2,-,218269381,218269534,339,58,0,0,0,0.854,1.000,0.854,AAMP
chr2,+,218402113,218402215,28,17,0,0,0,0.622,1.000,0.622,CTDSP1
chr2,-,219167929,219167978,5,4,0,0,0,0.556,1.000,0.556,SLC23A3
chr2,-,219168194,219168287,6,6,0,0,0,0.500,1.000,0.500,SLC23A3
chr2,+,219180109,219180245,60,10,0,0,0,0.857,1.000,0.857,FAM134A
chr2,+,219206969,219207042,25,4,0,0,0,0.862,1.000,0.862,ZFAND2B
chr2,-,219225410,219225572,212,12,0,0,0,0.946,1.000,0.946,ATG9A
chr2,-,219243501,219243631,43,24,0,0,0,0.642,1.000,0.642,GLB1L
chr2,+,219270186,219270335,2,5,0,0,0,0.286,1.000,0.286,TUBA4B
chr2,-,222295527,222295657,11,4,0,0,0,0.733,1.000,0.733,PAX3
chr2,-,223980310,223980397,61,11,0,0,0,0.847,1.000,0.847,SERPINE2
chr2,+,227815456,227815568,25,16,0,0,0,0.610,1.000,0.610,CCL20
chr2,-,229792972,229793145,23,4,0,0,0,0.852,1.000,0.852,TRIP12
chr2,+,230473323,230473440,6,4,0,0,0,0.600,1.000,0.600,SP100
chr2,+,233125747,233125919,24,15,0,0,0,0.615,1.000,0.615,INPP5D
chr2,-,236380568,236380633,5,4,0,0,0,0.556,1.000,0.556,IQCA1
chr2,+,238433553,238433695,42,13,0,0,0,0.764,1.000,0.764,ASB1
chr2,-,239126455,239126679,8,4,0,0,0,0.667,1.000,0.667,HDAC4
chr2,-,241235120,241235255,361,9,0,0,0,0.976,1.000,0.976,HDLBP
chr2,-,241262710,241262926,150,4,0,0,0,0.974,1.000,0.974,HDLBP
chr2,-,241499256,241499414,170,5,0,0,0,0.971,1.000,0.971,STK25
chr2,-,241678451,241678649,125,5,0,0,0,0.962,1.000,0.962,DTYMK
chr2,+,241814481,241814685,46,14,0,0,0,0.767,1.000,0.767,NEU4
chr3,-,8633665,8633795,10,6,0,0,0,0.625,1.000,0.625,SSUH2
chr3,+,9434276,9434485,4,4,0,0,0,0.500,1.000,0.500,SETD5
chr3,+,9743577,9743901,9,5,0,0,0,0.643,1.000,0.643,BRPF1
chr3,-,9791259,9791493,161,5,0,0,0,0.970,1.000,0.970,TADA3
chr3,+,9914547,9914599,10,4,0,0,0,0.714,1.000,0.714,IL17RE
chr3,+,14682169,14682331,9,4,0,0,0,0.692,1.000,0.692,C3orf20
chr3,-,15304102,15304231,75,9,0,0,0,0.893,1.000,0.893,SH3BP5
chr3,-,16409374,16409483,99,12,0,0,0,0.892,1.000,0.892,RFTN1
chr3,-,16493724,16493877,113,12,0,0,0,0.904,1.000,0.904,RFTN1
chr3,+,23917849,23918031,2367,11,0,0,0,0.995,1.000,0.995,RPL15
chr3,-,33632291,33632371,111,39,0,0,0,0.740,1.000,0.740,CLASP2
chr3,+,33828852,33828969,38,4,0,0,0,0.905,1.000,0.905,PDCD6IP
chr3,+,39407620,39407786,2039,12,0,0,0,0.994,1.000,0.994,RPSA
chr3,-,42407112,42407343,6,4,0,0,0,0.600,1.000,0.600,LYZL4
chr3,+,42643901,42644003,11,8,0,0,0,0.579,1.000,0.579,NKTR
chr3,+,44367531,44367708,13,9,0,0,0,0.591,1.000,0.591,TCAIM
chr3,+,44650940,44651259,35,11,0,0,0,0.761,1.000,0.761,ZNF35
chr3,-,46455795,46455978,2330,6,0,0,0,0.997,1.000,0.997,LTF
chr3,-,47277281,47277379,53,4,0,0,0,0.930,1.000,0.930,KIF9
chr3,-,47422441,47422536,55,5,0,0,0,0.917,1.000,0.917,SCAP
chr3,-,48182928,48183030,31,9,0,0,0,0.775,1.000,0.775,CDC25A
chr3,-,48434816,48435136,29,16,0,0,0,0.644,1.000,0.644,CCDC51
chr3,-,48469360,48469573,1409,5,0,0,0,0.996,1.000,0.996,SHISA5
chr3,-,48626875,48627052,9,7,0,0,0,0.562,1.000,0.562,SLC26A6
chr3,-,48682044,48682156,20,15,0,0,0,0.571,1.000,0.571,NCKIPSD
chr3,-,48695089,48695421,161,86,0,0,0,0.652,1.000,0.652,IP6K2
chr3,-,49018022,49018318,229,7,0,0,0,0.970,1.000,0.970,DALRD3
chr3,+,49022875,49022976,146,23,0,0,0,0.864,1.000,0.864,NDUFAF3
chr3,-,49115723,49115944,14,9,0,0,0,0.609,1.000,0.609,USP19
chr3,-,49117656,49117830,11,8,0,0,0,0.579,1.000,0.579,USP19
chr3,+,49413055,49413110,247,5,0,0,0,0.980,1.000,0.980,TCTA
chr3,-,50294708,50295619,8,6,0,0,0,0.571,1.000,0.571,HYAL3
chr3,-,50349385,50349494,71,5,0,0,0,0.934,1.000,0.934,NPRL2
chr3,+,50351408,50351560,24,17,0,0,0,0.585,1.000,0.585,"CYB561D2,XXcos-LUCA11.5"
chr3,-,50364887,50364976,8,4,0,0,0,0.667,1.000,0.667,CACNA2D2
chr3,+,51943348,51943538,11,9,0,0,0,0.550,1.000,0.550,PARP3
chr3,-,51961159,51961304,368,9,0,0,0,0.976,1.000,0.976,PCBP4
chr3,-,52151015,52151100,50,5,0,0,0,0.909,1.000,0.909,POC1A
chr3,-,52402778,52402871,99,9,0,0,0,0.917,1.000,0.917,BAP1
chr3,+,52411028,52411247,10,5,0,0,0,0.667,1.000,0.667,onlyEST
chr3,-,52452482,52452513,96,11,0,0,0,0.897,1.000,0.897,TNNC1
